USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"Sheep Creek Canyon, 55 km SSW of Carlin",6-May-17,40.24458669,-116.2387851,female,adult,Urocitellus,Rodentia,Sciuridae,1758,1758,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"Sheep Creek Canyon, 55 km SSW of Carlin",6-May-17,40.22974268,-116.1785021,male,adult,Urocitellus,Rodentia,Sciuridae,1718,1718,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,26.25 km W of Nixon,7-May-17,39.8555819,-119.6569681,female,adult,Urocitellus,Rodentia,Sciuridae,1287,1287,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,26.25 km W of Nixon,7-May-17,39.86476989,-119.6461881,male,adult,Urocitellus,Rodentia,Sciuridae,1281,1281,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Currie,DY 29 | MO MAY | YR 1941,40.26667,-114.74222,unknown,adult,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Currie,DY 29 | MO MAY | YR 1941,40.26667,-114.74222,unknown,adult,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Currie,DY 29 | MO MAY | YR 1941,40.26667,-114.74222,unknown,adult,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,North Wendover,DY 7 | MO AUG | YR 1972,,,male,adult,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Elko; 10 mi S,DY 99 | MO JUN | YR 1962 | 28-29|,40.68758,-115.76222,unknown,,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Currie,DY 29 | MO MAY | YR 1941,40.26667,-114.74222,unknown,juvenile,Spermophilus; Spermophilus,Rodentia; Rodentia,Sciuridae; Sciuridae,,,Spermophilus mollis; Spermophilus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"Ruby Mountains, Overland Pass",30-May-17,40.02705398,-115.550064,male,subadult,Urocitellus,Rodentia,Sciuridae,2001,2001,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,26.25 km W of Nixon,7-May-17,39.83992003,-119.657919,unknown,,Urocitellus,Rodentia,Sciuridae,1297,1297,Urocitellus mollis
