Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Pelophylax_saharicus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;1,5;0,18;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2298;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Peltophryne_fustiger;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;154,7;131;142,85;-0,07;2;0,3;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Petropedetes_cameronensis;Petropedetidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Petropedetes_newtoni;Petropedetidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;;
Petropedetes_parkeri;Petropedetidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Petropedetes_perreti;Petropedetidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;40,35;36;38,18;-0,05;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;Barej et al. 2010;Barej et al. 2010;;
Phasmahyla_cochranae;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Phasmahyla_guttata;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Philautus_aurifasciatus;Rhacophoridae;Natatanura;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;31,6;23,8;27,7;-0,12;2,7;0,43;13;1,11;74,39;1,87;Han & Fu 2013;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Philoria_frosti;Limnodynastidae;Australobatrachia;female-only care ;1;1;0;0;1;1;1;0;1;0;0;NA;absent;NA;NA;NA;NA;3,95;0,6;117,5;2,07;1439,14;3,16;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;Amphibiaweb
Philoria_sphagnicolus;Limnodynastidae;Australobatrachia;female-only care ;1;1;0;0;1;1;1;0;1;0;0;1;absent;35;NA;NA;NA;3,2375;0,51;50,25;1,7;413,45;2,62;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Han & Fu 2013;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Phlyctimantis_leonardi;Hyperoliidae;Afrobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2342;Gomez-Mestre et al. 2012;;;;
Phrynobatrachus_acridoides;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;29;NA;NA;NA;0,8;-0,1;105;2,02;52,75;1,72;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2040;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Phrynobatrachus_calcaratus;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;19,5;NA;NA;NA;0,8;-0,1;254,5;2,41;127,86;2,11;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Phrynobatrachus_dendrobates;Phrynobatrachidae;Natatanura;either parent;1;1;1;1;1;1;2;2;2;2;1;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Phrynobatrachus_guineensis;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;;;Summers et al. 2006;
Phrynobatrachus_latifrons;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;0,8;-0,1;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;;;Summers et al. 2006;
Phrynobatrachus_mababiensis;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;20,5;NA;NA;NA;0,9;-0,05;775;2,89;492,78;2,69;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2014;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012
Phrynobatrachus_natalensis;Phrynobatrachidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;33;27,5;30,25;-0,08;0,9;-0,05;788;2,9;501,05;2,7;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2059;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phrynobatrachus_sandersoni;Phrynobatrachidae;Natatanura;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;absent;25;NA;NA;NA;2,3;0,36;14,5;1,16;60,21;1,78;IUCN;Gomez-Mestre et al. 2023;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Phrynoidis_asper;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;102,7;83;92,85;-0,09;1,2;0,08;12792;4,11;14460,08;4,16;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013, Summers et al. 2006;Han & Fu 2013
Phrynomantis_microps;Microhylidae;Microhylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;51,7;NA;NA;NA;2,3;0,36;750;2,88;3114,49;3,49;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2152;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Phyllobates_bicolor;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;39,2;36,2;37,7;-0,03;NA;NA;17;1,23;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Phyllobates_lugubris;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;1;1;3;3;0;0;0;NA;absent;22,2;19,2;20,7;-0,06;NA;NA;18;1,26;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Phyllobates_terribilis;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;45,1;41,1;43,1;-0,04;2,5;0,4;17,5;1,24;85,86;1,93;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllobates_vittatus;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;29,35;24,4;26,88;-0,08;2,5;0,4;16,5;1,22;80,95;1,91;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllomedusa_atelopoides;Hylidae;Hylidae;female-only care ;1;1;0;0;1;1;1;0;1;0;0;1;absent;42,5;36,5;39,5;-0,07;3;0,48;20;1,3;141,3;2,15;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllomedusa_bicolor;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;115;97;106;-0,07;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;;
Phyllomedusa_hypochondrialis;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;41,25;35,2;38,23;-0,07;1,955;0,29;68,5;1,84;205,52;2,31;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Phyllomedusa_palliata;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;45,15;42,1;43,63;-0,03;3,125;0,49;57,25;1,76;438,88;2,64;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllomedusa_tarsius;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;105,2;86,9;96,05;-0,08;3,5;0,54;461,5;2,66;4437,9;3,65;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllomedusa_tomopterna;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;57,35;45,3;51,33;-0,1;3,325;0,52;65;1,81;564,11;2,75;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Phyllomedusa_trinitatis;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Phyllomedusa_vaillantii;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;78,65;52,1;65,38;-0,18;2,1875;0,34;868,5;2,94;3262,39;3,51;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Physalaemus_biligonigerus;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;32,5;NA;NA;NA;1;0;9407;3,97;7384,5;3,87;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Physalaemus_cuvieri;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;29,5;NA;NA;NA;1,9;0,28;650;2,81;1842;3,27;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Physalaemus_ephippifer;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;29,5;NA;NA;NA;1,5;0,18;410;2,61;724,16;2,86;Gomez-Mestre et al. 2012, IUCN, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Pipa_carvalhoi;Pipidae;Xenoanura;female-only care ;1;2;0;0;2;1;4;0;4;0;0;0;absent;51,4;45,7;48,55;-0,05;2,1;0,32;140;2,15;484,66;2,69;Amphibiaweb;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Pipa_parva;Pipidae;Xenoanura;female-only care ;1;2;0;0;2;1;4;0;4;0;0;0;absent;33,6;31,7;32,65;-0,03;NA;NA;NA;NA;NA;NA;Wells 2007;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Pipa_pipa;Pipidae;Xenoanura;female-only care ;1;2;0;0;2;1;4;0;4;2;1;0;present;138,7;128,7;133,7;-0,03;6;0,78;71;1,85;2006,46;3,3;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Platypelis_barbouri;Microhylidae;Microhylidae;male-only care ;1;2;2;1;0;0;2;2;0;NA;NA;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Glaw & Vences 2007;;Glaw & Vences 2007;;;;
Platypelis_grandis;Microhylidae;Microhylidae;male-only care ;1;1;1;1;0;0;2;2;0;2;1;0;absent;52;NA;NA;NA;4;0,6;95;1,98;1193,2;3,08;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Platyplectrum_ornatum;Limnodynastidae;Australobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;1;absent;38;NA;NA;NA;1,155;0,06;926,75;2,97;970,5;2,99;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Platyplectrum_spenceri;Limnodynastidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;39,5;NA;NA;NA;1,5;0,18;1129;3,05;1994,1;3,3;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Plectrohyla_acanthodes;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,9;0,46;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Plectrohyla_arborescandens;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;45,6;34,8;40,2;-0,12;2,175;0,34;NA;NA;NA;NA;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013, Summers et al. 2006;
Plectrohyla_bistincta;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2319;Gomez-Mestre et al. 2012;;;;
Plectrohyla_guatemalensis;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;48,6;47,5;48,05;-0,01;2;0,3;NA;NA;NA;NA;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013, Summers et al. 2006;
Plectrohyla_hartwegi;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,5;0,4;NA;NA;NA;NA;IUCN;;IUCN;;;Summers et al. 2006;
Plectrohyla_matudai;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;49;33,1;41,05;-0,17;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Plectrohyla_sagorum;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,7;0,23;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Plethodontohyla_mihanika;Microhylidae;Microhylidae;male-only care ;1;1;1;1;0;0;2;2;0;2;1;0;absent;30;NA;NA;NA;3;0,48;111;2,05;784,22;2,89;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Plethodontohyla_notosticta;Microhylidae;Microhylidae;male-only care ;1;1;1;1;0;0;2;2;0;2;1;0;absent;38,5;NA;NA;NA;3,1;0,49;81,5;1,91;614,82;2,79;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Plethodontohyla_tuberata;Microhylidae;Microhylidae;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;absent;40;NA;NA;NA;3,75;0,57;41;1,61;452,6;2,66;Amphibiaweb, Wells 2007;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Pleurodema_brachyops;Leptodactylidae;Diphyabatracea;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;1;absent;35,5;31,5;33,5;-0,05;1,12;0,05;1075;3,03;1058,56;3,02;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Polypedates_cruciger;Rhacophoridae;Natatanura;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meegaskumbura et al. 2010;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Polypedates_leucomystax;Rhacophoridae;Natatanura;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;69,6;43,5;56,55;-0,2;1,675;0,22;293,5;2,47;646,41;2,81;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Polypedates_maculatus;Rhacophoridae;Natatanura;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;80,5;NA;NA;NA;1,35;0,13;850;2,93;1216,06;3,08;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Polypedates_megacephalus;Rhacophoridae;Natatanura;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;67,1;49;58,05;-0,14;1,9;0,28;362;2,56;1025,85;3,01;IUCN;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Polypedates_mutus;Rhacophoridae;Natatanura;biparental care;2;1;1;1;1;1;1;1;1;0;0;NA;absent;66,7;53,4;60,05;-0,1;2;0,3;NA;NA;NA;NA;IUCN;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Poyntonia_paludicola;Pyxicephalidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2343;Gomez-Mestre et al. 2012;;;;
Poyntonophrynus_dombensis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;40;NA;NA;NA;1,7;0,23;900;2,95;2041,79;3,31;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2083;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Poyntonophrynus_vertebralis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;1,8;0,26;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2301;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Pristimantis_acuminatus;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;30;NA;NA;NA;2,4;0,38;16,5;1,22;74,61;1,87;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pristimantis_affinis;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Pristimantis_caryophyllaceus;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;;
Pristimantis_conspicillatus;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;42;NA;NA;NA;3,5;0,54;44,5;1,65;427,92;2,63;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pristimantis_diadematus;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;40,5;NA;NA;NA;3,9;0,59;18;1,26;214,92;2,33;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pristimantis_lanthanites;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;35;NA;NA;NA;3,2;0,51;36;1,56;289,38;2,46;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pristimantis_lymani;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Pristimantis_nicefori;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Pristimantis_ockendeni;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;28;NA;NA;NA;3,5;0,54;26;1,41;250,02;2,4;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pristimantis_percultus;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Pristimantis_simoterus;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Pristimantis_terraebolivaris;Craugastoridae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Probreviceps_rhodesianus;Brevicipitidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;2;1;NA;present;NA;NA;NA;NA;5;0,7;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Probreviceps_uluguruensis;Brevicipitidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;2;1;1;present;37;NA;NA;NA;4;0,6;20;1,3;251,2;2,4;IUCN;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Pseudacris_brachyphona;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;29,9;24,6;27,25;-0,08;1,575;0,2;925;2,97;1801,24;3,26;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2045;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Pseudacris_brimleyi;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;29,8;26;27,9;-0,06;NA;NA;300;2,48;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Pseudacris_cadaverina;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;40,9;33;36,95;-0,09;2;0,3;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
