Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Leptopelis_ragazzi;Arthroleptidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Amphibiaweb;;;;
Leptopelis_vannutellii;Arthroleptidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Amphibiaweb;;;;
Limnodynastes_dorsalis;Limnodynastidae;Australobatrachia;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;87;75;81;-0,06;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;Amphibiaweb;Amphibiaweb;;
Limnodynastes_dumerilii;Limnodynastidae;Australobatrachia;female-only care ;1;1;0;0;1;1;1;0;1;0;0;NA;absent;NA;NA;NA;NA;1,7;0,23;3950;3,6;8961,17;3,95;Amphibiaweb;;Amphibiaweb;;;Han & Fu 2013, Summers et al. 2006;Han & Fu 2013
Limnodynastes_interioris;Limnodynastidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,7;0,23;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Limnodynastes_lignarius;Limnodynastidae;Australobatrachia;no care;2;1;0;0;1;1;1;0;1;0;0;1;absent;46,5;NA;NA;NA;1,85;0,27;375;2,57;1007,5;3;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Limnodynastes_peronii;Limnodynastidae;Australobatrachia;female-only care ;1;1;0;0;1;1;1;0;1;0;0;1;absent;51,05;51,7;51,38;0,01;1,5;0,18;853,5;2,93;1507,49;3,18;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Limnodynastes_salmini;Limnodynastidae;Australobatrachia;no care;2;1;0;0;1;1;1;0;1;0;0;1;absent;67,5;NA;NA;NA;1,5;0,18;1750;3,24;3090,94;3,49;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013
Limnodynastes_tasmaniensis;Limnodynastidae;Australobatrachia;female-only care ;1;1;0;0;1;1;1;0;1;0;0;1;absent;36,45;33,2;34,83;-0,04;1,195;0,08;486,75;2,69;545,65;2,74;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Limnonectes_arathooni;Dicroglossidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;19,5;1,29;NA;NA;IUCN;;IUCN;;;;IUCN
