"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","29-Jan-26","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.46299102, 35.05767404)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","14-Oct-25","female","adult","Sorex","Soricomorpha","Soricidae",c(-83.46297299, 35.05776901)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.46295598, 35.05771201)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","30-Jan-26","female","subadult","Sorex","Soricomorpha","Soricidae",c(-83.462916, 35.057436)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","14-Oct-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.46258298, 35.05777798)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.46253797, 35.05775602)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.46248098, 35.05780597)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","13-Oct-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.46233102, 35.05774302)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","14-Oct-25","female","adult","Blarina","Soricomorpha","Soricidae",c(-83.46228903, 35.05804804)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","14-Oct-25","female","adult","Blarina","Soricomorpha","Soricidae",c(-83.462283, 35.05804997)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","14-Oct-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.46224, 35.05757698)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","12-Oct-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45303399, 35.03903897)
