USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",19-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",19-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",19-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",19-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",20-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",20-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",20-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",20-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,2 mi SE Union,2-Jun-36,38.85144,-117.57183,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"12 Mile Creek, 1 mi E California line",17-Jul-36,41.99,-119.98,female,,Urocitellus,Rodentia,Sciuridae,5300,5300,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"12 Mile Creek, 1 mi E California line",18-Jul-36,41.99,-119.98,male,,Urocitellus,Rodentia,Sciuridae,5300,5300,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Rock Creek, Granite Mts.",11-Jul-36,40.79889,-119.33083,male,,Urocitellus,Rodentia,Sciuridae,7425,7425,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Rock Creek, Granite Mts.",13-Jul-36,40.79889,-119.33083,unknown,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Rock Creek, Granite Mts.",13-Jul-36,40.79889,-119.33083,male,,Urocitellus,Rodentia,Sciuridae,7425,7425,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Rock Creek, Granite Mts.",13-Jul-36,40.79889,-119.33083,female,,Urocitellus,Rodentia,Sciuridae,7425,7425,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Rock Creek, Granite Mts.",13-Jul-36,40.79889,-119.33083,female,,Urocitellus,Rodentia,Sciuridae,7425,7425,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,3 mi S Mt. Rose,5-Aug-36,39.300311,-119.917136,female,,Urocitellus,Rodentia,Sciuridae,8500,8500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Lamoille,May-36,40.72806,-115.4775,unknown,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
