COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,DETECTED,NOT_DETECTED,SEX,WEIGHT,LIFE_STAGE,EXAMINED_FOR,NOT_EXAMINED_FOR,SPECIES
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03924198,-83.45229596,,ectoparasite; endoparasite,female,17.5 g,adult,,ectoparasite; endoparasite,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",21-May-25,35.03840002,-83.45229403,,ectoparasite; endoparasite,unknown,,adult,,ectoparasite; endoparasite,Sorex cinereus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",25-May-25,35.03827698,-83.45228498,ectoparasite; endoparasite,,male,5.2 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03839499,-83.45228297,,ectoparasite; endoparasite,male,22.6 g,adult,,ectoparasite; endoparasite,Napeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",2-Aug-25,35.03902799,-83.45224902,,ectoparasite; endoparasite,male,17.75 g,adult,,ectoparasite; endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",31-Jul-25,35.03907502,-83.45224701,endoparasite,ectoparasite,male,9.8 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",13-Oct-25,35.03892104,-83.452245,,ectoparasite; endoparasite,female,14 g,subadult,,ectoparasite; endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",11-Oct-25,35.039116,-83.452245,ectoparasite; endoparasite,,male,13.7 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",23-Apr-25,35.03850899,-83.45224399,ectoparasite,endoparasite,female,18.1 g,subadult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03850899,-83.45224399,ectoparasite,endoparasite,female,15.5 g,juvenile,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",22-May-25,35.03850899,-83.45224399,ectoparasite; endoparasite,,male,12.9 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",22-May-25,35.03850899,-83.45224399,ectoparasite; endoparasite,,male,14.5 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,male,18.7 g,adult,,ectoparasite; endoparasite,Napeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",1-Aug-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,male,16.6 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",10-Oct-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,female,19.8 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",10-Oct-25,35.03850899,-83.45224399,ectoparasite,endoparasite,male,27.9 g,adult,ectoparasite,endoparasite,Napaeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",14-Oct-25,35.03850899,-83.45224399,ectoparasite; endoparasite,,female,2.9 g,adult,ectoparasite; endoparasite,,Sorex cinereus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",10-Oct-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,female,22.5 g,adult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",10-Oct-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,male,18 g,adult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",2-Aug-25,35.03850899,-83.45224399,,ectoparasite; endoparasite,female,22 g,adult,,ectoparasite; endoparasite,Napaeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",30-Jul-25,35.03864796,-83.45224198,ectoparasite,endoparasite,male,16.2 g,adult,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",30-Jul-25,35.038655,-83.45224097,,ectoparasite; endoparasite,male,17.75 g,adult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",23-Apr-25,35.03838896,-83.45223301,,ectoparasite; endoparasite,female,14.6 g,juvenile,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",20-Apr-25,35.03898198,-83.45221298,ectoparasite,endoparasite,female,17.9 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",22-Apr-25,35.03880998,-83.45221097,,ectoparasite; endoparasite,male,17 g,subadult,,ectoparasite; endoparasite,Peromyscus maniculatus
